1|Sales and Marketing|Chami|Habergy
2|Legal Department|Microsoft|Penna in Teverina
3|Sales and Marketing|Cakewalk|Tynda
4|Sales and Marketing|Adobe|Stary Oskol
5|Quality Assurance|Apple Systems|Vance
6|Quality Assurance|Altavista|Zapallar
7|Quality Assurance|Chami|Mussy-la-Ville
8|Research and Development|Microsoft|Portland
9|Human Resources|Chami|Maglie
10|Customer Service|Sibelius|Longueville
11|Tech Support|Borland|Sungai Penuh
12|Advertising|Chami|Keiem
13|Payroll|Macromedia|Florencia
14|Media Relations|Lycos|Girona
15|Payroll|Macromedia|Krasnoarmeysk
16|Asset Management|Finale|Obaix
17|Research and Development|Apple Systems|Tongeren
18|Advertising|Macromedia|Leominster
19|Tech Support|Borland|Worcester
20|Customer Service|Yahoo|Ragogna
21|Media Relations|Adobe|Waren
22|Research and Development|Lycos|San Pedro de la Paz
23|Legal Department|Lycos|Beersel
24|Quality Assurance|Sibelius|Pimpri-Chinchwad
25|Advertising|Altavista|Leverkusen
26|Human Resources|Macromedia|Grand Island
27|Public Relations|Altavista|Orangeville
28|Asset Management|Google|Bhimavaram
29|Asset Management|Macromedia|Kubinka
30|Media Relations|Lycos|Gandhinagar
31|Legal Department|Borland|Ottawa
32|Asset Management|Finale|San Diego
33|Customer Relations|Macromedia|Ambala
34|Accounting|Sibelius|Batiscan
35|Legal Department|Altavista|Bijapur
36|Customer Service|Sibelius|Bilbo
37|Customer Relations|Altavista|Erchie
38|Human Resources|Cakewalk|Wattrelos
39|Accounting|Lycos|Crewe
40|Tech Support|Yahoo|Yeongju
41|Customer Service|Lavasoft|Deventer
42|Media Relations|Yahoo|Paju
43|Quality Assurance|Macromedia|Sant'Elpidio a Mare
44|Accounting|Borland|Chestermere
45|Media Relations|Microsoft|Norfolk County
46|Customer Relations|Chami|Sant'Omero
47|Finances|Altavista|Kingussie
48|Customer Relations|Altavista|Pushkino
49|Tech Support|Sibelius|Bhuj
50|Customer Service|Finale|Balashikha
51|Accounting|Adobe|Cochrane
52|Customer Relations|Cakewalk|Gatchina
53|Accounting|Macromedia|Radebeul
54|Accounting|Adobe|Allerona
55|Advertising|Macromedia|La Rochelle
56|Quality Assurance|Finale|Kansas City
57|Research and Development|Lavasoft|Chañaral
58|Tech Support|Lavasoft|Assiniboia
59|Human Resources|Apple Systems|St. Petersburg
60|Customer Relations|Macromedia|Van
61|Sales and Marketing|Borland|Slijpe
62|Media Relations|Macromedia|Stewart
63|Legal Department|Macromedia|Castletown
64|Customer Relations|Lavasoft|GŽrompont
65|Tech Support|Cakewalk|Hulshout
66|Tech Support|Chami|Empedrado
67|Tech Support|Adobe|Mitú
68|Accounting|Lavasoft|Baracaldo
69|Finances|Sibelius|Uttarpara-Kotrung
70|Quality Assurance|Altavista|Zaragoza
71|Media Relations|Altavista|Beaconsfield
72|Advertising|Altavista|Gorinchem
73|Payroll|Lavasoft|Okotoks
74|Customer Service|Chami|Albano di Lucania
75|Advertising|Altavista|Roio del Sangro
76|Quality Assurance|Borland|Colledimacine
77|Public Relations|Lavasoft|Temse
78|Customer Relations|Borland|Ambleside
79|Research and Development|Apple Systems|Korneuburg
80|Customer Relations|Cakewalk|Saint-Pierre
81|Advertising|Sibelius|Masone
82|Research and Development|Cakewalk|Cwmbran
83|Customer Relations|Finale|Bharuch
84|Quality Assurance|Finale|Porto Cesareo
85|Customer Service|Adobe|Kruibeke
86|Asset Management|Lycos|Cabrero
87|Customer Service|Microsoft|Lago Ranco
88|Tech Support|Apple Systems|Soissons
89|Research and Development|Yahoo|Gimcheon
90|Finances|Chami|Macklin
91|Sales and Marketing|Chami|Köthen
92|Public Relations|Google|Caplan
93|Customer Relations|Lavasoft|Abaetetuba
94|Public Relations|Apple Systems|Tapachula
95|Asset Management|Cakewalk|Soverzene
96|Sales and Marketing|Google|Waiblingen
97|Human Resources|Macromedia|Waasmunster
98|Sales and Marketing|Yahoo|Armidale
99|Public Relations|Cakewalk|Minitonas
100|Accounting|Finale|Rulles