2|ties|2020-07-24|$7.42|7
4|ties|2020-11-27|$57.91|1
5|ties|2020-12-16|$93.82|10
5|skirts|2020-09-27|$38.16|1
4|socks|2021-03-09|$51.90|5
5|socks|2021-05-16|$31.51|5
3|socks|2020-12-17|$77.58|8
1|skirts|2019-08-28|$66.88|4
4|pants|2019-07-08|$12.67|1
3|socks|2020-04-22|$70.14|2
4|shirts|2020-11-27|$67.05|2
5|ties|2020-01-07|$54.26|1
1|ties|2019-10-04|$47.31|7
1|ties|2019-06-18|$49.63|7
3|ties|2019-10-24|$11.74|4
4|shirts|2020-12-30|$9.60|3
4|socks|2020-01-11|$47.81|8
1|socks|2019-05-26|$79.81|6
2|socks|2019-09-07|$73.49|4
5|shirts|2021-04-22|$25.93|8
2|skirts|2021-04-01|$66.81|10
2|ties|2020-04-26|$45.35|2
3|ties|2019-07-24|$14.39|3
1|pants|2019-08-13|$39.61|8
2|shirts|2019-08-12|$8.26|2
4|ties|2020-04-29|$18.86|9
2|shirts|2019-09-23|$50.32|10
5|socks|2020-11-21|$10.09|4
1|shirts|2020-06-15|$25.95|7
5|pants|2021-04-18|$14.18|2
4|shirts|2019-06-25|$79.84|5
2|pants|2021-03-07|$61.37|8
1|socks|2019-11-01|$67.06|10
3|skirts|2019-10-03|$55.21|10
1|shirts|2019-12-06|$12.63|2
5|shirts|2020-09-16|$62.35|5
3|shirts|2021-05-11|$29.87|6
1|pants|2019-12-28|$15.15|10
3|socks|2020-06-24|$53.23|6
1|ties|2021-03-31|$21.66|2
5|socks|2019-06-10|$93.28|1
3|pants|2021-01-21|$67.22|9
3|pants|2021-05-05|$75.45|5
2|socks|2021-02-11|$74.87|5
3|pants|2021-03-08|$59.38|6
3|ties|2020-11-02|$30.43|6
5|ties|2020-12-13|$98.52|3
1|skirts|2019-08-04|$36.88|5
4|socks|2020-11-02|$35.20|9
3|pants|2019-08-30|$19.74|10
4|pants|2019-07-23|$87.38|6
2|shirts|2020-08-27|$6.84|1
3|pants|2020-02-15|$56.76|10
1|ties|2021-03-01|$68.71|2
3|pants|2020-04-26|$2.42|6
2|shirts|2020-08-24|$36.30|6
4|skirts|2020-07-30|$76.74|6
3|ties|2020-01-30|$54.32|10
5|skirts|2020-06-24|$66.09|2
5|pants|2019-12-20|$47.09|5
1|ties|2020-01-21|$67.92|7
1|socks|2020-05-21|$54.86|3
1|pants|2020-08-25|$55.92|3
5|ties|2021-01-03|$32.54|3
2|socks|2019-12-05|$95.09|1
3|pants|2019-09-24|$9.06|4
2|ties|2021-01-26|$45.78|3
2|ties|2020-11-20|$38.54|3
4|pants|2020-12-16|$59.28|9
2|socks|2019-10-13|$0.85|6
3|ties|2021-02-13|$12.61|10
3|skirts|2020-06-13|$69.59|5
1|socks|2021-03-26|$68.19|1
4|skirts|2020-03-10|$98.16|7
5|socks|2021-05-11|$79.14|7
4|shirts|2020-03-20|$0.40|9
3|skirts|2020-02-25|$25.42|6
2|socks|2019-08-13|$59.03|9
5|socks|2021-03-25|$80.33|3
1|shirts|2019-12-11|$22.66|5
1|shirts|2020-03-28|$4.10|10
4|pants|2019-12-24|$35.13|10
1|ties|2020-07-04|$44.47|4
2|skirts|2020-03-10|$40.53|4
3|socks|2020-02-09|$16.77|1
1|shirts|2019-10-18|$38.38|5
4|ties|2019-06-25|$26.33|1
1|skirts|2019-09-04|$96.67|1
5|shirts|2020-12-14|$75.79|5
3|pants|2019-06-24|$69.10|10
2|socks|2020-01-22|$30.57|8
2|ties|2020-11-15|$15.15|3
2|pants|2020-08-07|$93.70|10
4|ties|2020-05-18|$40.08|8
3|skirts|2021-05-20|$30.16|5
2|shirts|2021-03-28|$37.29|8
4|pants|2020-04-04|$14.86|1
3|pants|2020-09-14|$90.00|1
4|skirts|2019-06-21|$40.54|4
2|socks|2019-09-25|$11.77|1